fecha_matrimonio,genero_1,genero_2,estado_civil_1,estado_civil_2,edad_1,edad_2
2019-01-01,Masculino,Femenino,Soltero/a,Soltero/a,46,36
2019-01-02,Masculino,Femenino,Divorciado/a,Soltero/a,30,25
2019-01-02,Masculino,Femenino,Soltero/a,Soltero/a,30,27
2019-01-02,Masculino,Femenino,Soltero/a,Soltero/a,29,28
2019-01-02,Masculino,Femenino,Soltero/a,Soltero/a,32,31
2019-01-02,Femenino,Masculino,Soltero/a,Soltero/a,34,31
2019-01-02,Masculino,Femenino,Soltero/a,Soltero/a,39,32
2019-01-02,Masculino,Femenino,Soltero/a,Divorciado/a,31,33
2019-01-02,Masculino,Femenino,Soltero/a,Divorciado/a,34,34
2019-01-02,Masculino,Femenino,Soltero/a,Soltero/a,56,35
2019-01-02,Masculino,Femenino,Soltero/a,Soltero/a,34,36
2019-01-02,Femenino,Masculino,Soltero/a,Soltero/a,34,37
2019-01-02,Femenino,Masculino,Soltero/a,Soltero/a,40,38
2019-01-02,Masculino,Femenino,Soltero/a,Soltero/a,31,42
2019-01-02,Masculino,Femenino,Soltero/a,Soltero/a,38,42
2019-01-02,Femenino,Masculino,Soltero/a,Soltero/a,38,42
2019-01-02,Masculino,Femenino,Soltero/a,Soltero/a,53,52
2019-01-02,Masculino,Femenino,Divorciado/a,Divorciado/a,66,52
2019-01-02,Masculino,Femenino,Viudo/a,Soltero/a,71,55
2019-01-02,Masculino,Femenino,Divorciado/a,Divorciado/a,56,55
2019-01-02,Femenino,Masculino,Soltero/a,Soltero/a,60,61
2019-01-02,Masculino,Femenino,Divorciado/a,Soltero/a,68,64
2019-01-02,Masculino,Femenino,Soltero/a,Divorciado/a,73,68
2019-01-03,Masculino,Femenino,Soltero/a,Soltero/a,24,21
2019-01-03,Masculino,Femenino,Soltero/a,Soltero/a,28,21
2019-01-03,Masculino,Femenino,Casado/a,Soltero/a,29,24
2019-01-03,Masculino,Femenino,Soltero/a,Soltero/a,25,24
2019-01-03,Masculino,Masculino,Soltero/a,Soltero/a,25,30
2019-01-03,Masculino,Femenino,Soltero/a,Soltero/a,38,31
2019-01-03,Femenino,Masculino,Soltero/a,Soltero/a,31,31
2019-01-03,Masculino,Femenino,Soltero/a,Soltero/a,31,32
2019-01-03,Femenino,Masculino,Divorciado/a,Soltero/a,35,32
2019-01-03,Masculino,Femenino,Soltero/a,Soltero/a,35,33
2019-01-03,Femenino,Masculino,Soltero/a,Soltero/a,27,34
2019-01-03,Masculino,Femenino,Soltero/a,Soltero/a,45,34
2019-01-03,Masculino,Femenino,Soltero/a,Soltero/a,36,34
2019-01-03,Femenino,Femenino,Soltero/a,Soltero/a,22,35
2019-01-03,Masculino,Femenino,Soltero/a,Soltero/a,49,36
2019-01-03,Masculino,Femenino,Divorciado/a,Soltero/a,55,38
2019-01-03,Masculino,Femenino,Soltero/a,Divorciado/a,42,41
2019-01-03,Masculino,Femenino,Soltero/a,Soltero/a,34,43
2019-01-03,Masculino,Femenino,Divorciado/a,Divorciado/a,66,52
2019-01-03,Masculino,Femenino,Viudo/a,Soltero/a,95,60
2019-01-03,Masculino,Masculino,Soltero/a,Soltero/a,52,68
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,21,20
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,28,23
2019-01-04,Masculino,Femenino,Casado/a,Soltero/a,26,24
2019-01-04,Femenino,Masculino,Soltero/a,Soltero/a,34,24
2019-01-04,Femenino,Masculino,Soltero/a,Soltero/a,33,24
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,20,25
2019-01-04,Femenino,Masculino,Soltero/a,Soltero/a,35,26
2019-01-04,Femenino,Femenino,Soltero/a,Soltero/a,28,26
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,30,26
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,27,26
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,18,27
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,29,27
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,29,27
2019-01-04,Femenino,Masculino,Soltero/a,Soltero/a,27,27
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,29,28
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,31,28
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,23,28
2019-01-04,Masculino,Femenino,Casado/a,Casado/a,28,28
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,35,30
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,31,30
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,33,30
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,35,30
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,29,30
2019-01-04,Masculino,Femenino,Soltero/a,Divorciado/a,33,30
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,31,31
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,34,31
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,37,32
2019-01-04,Masculino,Femenino,Divorciado/a,Soltero/a,34,32
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,28,34
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,38,34
2019-01-04,Femenino,Masculino,Soltero/a,Soltero/a,31,34
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,34,35
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,35,35
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,37,35
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,38,35
2019-01-04,Masculino,Femenino,Soltero/a,Divorciado/a,44,35
2019-01-04,Femenino,Masculino,Soltero/a,Soltero/a,42,37
2019-01-04,Femenino,Masculino,Soltero/a,Soltero/a,30,37
2019-01-04,Femenino,Masculino,Soltero/a,Soltero/a,35,37
2019-01-04,Masculino,Femenino,Divorciado/a,Divorciado/a,50,37
2019-01-04,Masculino,Femenino,Soltero/a,Soltero/a,29,37
2019-01-04,Femenino,Masculino,Soltero/a,Soltero/a,39,39
2019-01-04,Masculino,Femenino,Divorciado/a,Soltero/a,38,39
